"gamma","sigma","scenario","p","ratio","Bias","MSE","Var","Coverage"
0.5,0.5,2,0.7,20,-0.0724595651813081,0.261838578039119,0.259439169335664,95.6043956043956
0.5,0.5,3,0.7,20,0.00549290912176565,0.00987664372288224,0.0099459309820831,97
0.5,0.5,4,0.7,20,0.00152960474304472,0.000479447536296879,0.000481927116794883,93
0.5,0.5,5,0.7,20,-0.0128684223714957,0.00451083846572279,0.00438913350645614,94
0.5,0.5,1,0.7,30,0.0749085813474514,0.147708541729194,0.143532571888592,96
0.5,0.5,2,0.7,30,0.201048367712481,0.4636266133047,0.428430934640462,95.1219512195122
0.5,0.5,3,0.7,30,0.00863960348976175,0.0133779344620998,0.0134376683976156,94
0.5,0.5,4,0.7,30,0.00237529736581054,0.000648342434714218,0.000649192320341608,92
0.5,0.5,5,0.7,30,-0.00331771495471155,0.00349667294151342,0.00352087445352799,97
0.5,0.5,1,0.7,40,0.075527971618437,0.204958353219839,0.20126654416469,94
0.5,0.5,2,0.7,40,0.00275533073955584,0.546394036289289,0.552969413651947,96.4285714285714
0.5,0.5,3,0.7,40,-0.0042670987524643,0.0183610332754313,0.0185281062057253,94
0.5,0.5,4,0.7,40,0.00239026126016158,0.00099631368665499,0.00100060640178097,91
0.5,0.5,5,0.7,40,0.000957494361852338,0.0046474043304518,0.00469342175252406,92
0.5,0.5,1,0.7,50,-0.0390959993162496,0.233919043020398,0.234737925108952,94
0.5,0.5,2,0.7,50,-0.165051169168792,0.758329536469365,0.740341922051017,88.75
0.5,0.5,3,0.7,50,0.0241899476218311,0.0214405959295066,0.0210682529999225,94.949494949495
0.5,0.5,4,0.7,50,0.00167940340772791,0.00104810399917933,0.00105584202360953,94
0.5,0.5,5,0.7,50,0.00137496184742325,0.00418649009484517,0.00422686825733666,93
0.5,0.5,1,0.7,60,0.0627508615509645,0.349608061665295,0.349162011151421,91
0.5,0.5,2,0.7,60,-0.0356932382276846,1.45042897387003,1.47414039707373,93.2203389830508
0.5,0.5,3,0.7,60,0.0192352140937109,0.0327119506332112,0.0326823988264222,97.9166666666667
0.5,0.5,4,0.7,60,-0.00100760354727155,0.00111319350790894,0.00112341236666714,95
