"gamma","sigma","p","ratio","B","G","alpha","beta","Bias_n","Var_n","Bias_p","Var_p"
0.25,1,0.5,5,1000,112,1,1,0.0342327666197368,0.0861068791494847,-0.0887263230748919,0.00175452052859911
0.25,1,0.5,5,1000,114,1,1,-0.0499250321115911,0.0955901040831086,-0.0352481920510953,0.00540240677585045
0.25,1,0.5,5,1000,116,1,1,0.0521318521272538,0.13605031820775,0.0163993329659008,0.00464908528721519
0.25,1,0.5,5,1000,118,1,1,0.000655410583213104,0.0403105811196049,0.0301578627784065,0.00103417421203572
0.25,1,0.5,5,1000,120,1,1,-0.0254194159761317,0.116484417666971,0.0256295400154275,0.00689379264351307
0.25,1,0.5,5,1000,122,1,1,0.0797284909237403,0.113524305963633,0.0282471256715619,0.00499745892578985
0.25,1,0.5,5,1000,124,1,1,-0.0678832798820806,0.0574605799927069,0.0318163092553178,0.0034734963225266
0.25,1,0.5,5,1000,126,1,1,0.00378210295374692,0.0829494284563462,-0.00756953802850819,0.0062481113319634
0.25,1,0.5,5,1000,128,1,1,-0.016256275799943,0.116422223223476,-0.0340565583093995,0.00141098064407422
0.25,1,0.5,5,1000,130,1,1,-0.031040355040742,0.0906658139938226,0.00687327945582805,0.00536297128827918
0.25,1,0.5,5,1000,132,1,1,0.0360571011216127,0.1208459169278,0.0334117274297604,0.00325355527980143
0.25,1,0.5,5,1000,134,1,1,-0.0205702364387221,0.132762800105863,-0.0182922204655617,0.00250578694533799
0.25,1,0.5,5,1000,136,1,1,-0.00523610465152664,0.105228393856635,0.0236886155902536,0.00271261681069778
0.25,1,0.5,5,1000,138,1,1,0.0711952130908518,0.0457377368856483,0.00878343083369054,0.00940295312464315
0.25,1,0.5,5,1000,140,1,1,-0.00347735982070154,0.106412022528846,-0.0111580866593529,0.00143549476636167
0.25,1,0.5,5,1000,142,1,1,0.0440253725535506,0.107154184130065,0.0445071690455911,0.0160005503400158
0.25,1,0.5,5,1000,144,1,1,0.00127539499917662,0.114762135700274,-0.0129715868707549,0.00297686316907059
0.25,1,0.5,5,1000,146,1,1,0.0201978295669941,0.170117146417568,-0.0287149768055622,0.00130663269597838
0.25,1,0.5,5,1000,148,1,1,-0.0621438382658628,0.0983462836462264,-0.000885749578383543,0.0105141082956535
0.25,1,0.5,5,1000,150,1,1,0.0393126205057344,0.0925997121752211,0.0888600871056759,0.00354547580849044
0.25,1,0.5,5,1000,152,1,1,0.0405423118357582,0.124447945001661,-0.0151246062688084,0.000762921092860023
0.25,1,0.5,5,1000,154,1,1,0.0479856799557767,0.176763956292473,0.0116211781000703,0.0137079285080989
0.25,1,0.5,5,1000,156,1,1,-0.00669176661758954,0.16183334698935,-0.00292162160868076,0.0063644282167852
0.25,1,0.5,5,1000,158,1,1,0.0989994928431586,0.0243987329869609,-0.00760342119223365,0.00228313700374015
0.25,1,0.5,5,1000,160,1,1,-0.110901079395035,0.144410404738076,-0.0232936051733362,0.0070313288179014
0.25,1,0.5,5,1000,162,1,1,-0.0349150128742852,0.0926511028546563,-0.0106502990107267,0.00606136211554468
0.25,1,0.5,5,1000,164,1,1,-0.105330484889896,0.101184884129462,-0.018923450795582,0.00856923539761894
0.25,1,0.5,5,1000,166,1,1,0.0100068581880563,0.0937042762924136,-0.00846898320996727,0.0049908337684611
0.25,1,0.5,5,1000,168,1,1,0.148790883274378,0.162241591828283,-0.00471419471448578,0.00286615291173896
0.25,1,0.5,5,1000,170,1,1,-0.0134669892674703,0.0686390201353729,0.0393810362077238,0.00418195534507075
0.25,1,0.5,5,1000,172,1,1,-0.0881694403559636,0.159797772557011,-0.0264274929422251,0.00221783061905693
